chapter,word
6,1l_j
7,dm
3,now
5,the
6,of
2,the
6,be
6,s
6,the
2,an
2,events
5,good
7,is
6,not
5,the
3,but
6,t_j
5,the
6,applying
3,be
3,on
6,for
3,design
1,them
4,emulators
6,design
7,not
6,sensible
4,chapter
6,there
5,decisions
6,however
5,to
5,in
3,consideration
3,principle
4,by
5,analyst
2,experts
5,of
6,model
3,inspired
4,surrogate
6,we
6,use
3,e_chol
6,dotted
6,volume
6,a
5,constant
2,models
1,as
5,the
6,second
6,processing
3,design
6,errors
5,based
5,over
4,axes
5,utility
6,and
5,ucb
1,aleatory
5,for
3,average
4,simulator
6,consider
6,emulation
6,standardised
7,mean
5,or
6,residuals
1,elicitation
6,the
2,app
6,are
6,function
6,is
6,single
4,that
4,mean
5,where
5,which
3,solution
6,in
3,points
4,are
5,if
4,to
5,into
1,final
4,found
2,a
4,for
5,one
6,simulator
5,to
6,of
5,efficiency
4,independent
6,hoc
3,different
5,dominant
5,is
3,maximin
2,component
2,observable
2,these
6,method
5,expectation
5,not
5,ei
2,zit16
6,point
6,this
5,wave
5,context
4,mean
4,a
5,responsibility
5,if
2,that
6,could
6,decisions
6,simulator
5,the
6,proportion
5,gaussian
1,via
4,i
6,the
4,example
5,usually
5,decision
6,warehouse
6,so
6,case
2,main
5,probability
3,x_1
2,and
5,bytneal2003
3,hand
6,of
4,specification
5,given
6,athena
5,then
6,space
3,have
3,emulator
6,bottom
4,represents
2,which
3,the
6,out
6,used
3,in
2,as
2,knowledge
4,sml
3,use
5,with
5,are
5,which
6,frequency
6,are
2,lottery
4,we
1,a
5,the
6,we
3,shows
3,both
2,a
5,can
2,expert
3,mean
6,is
3,of
6,and
4,estimates
3,to
6,of
5,workers
3,with
5,ways
3,athena
7,analysis
6,is
4,of
5,red
3,equation
3,effect
2,event
1,allow
3,in
2,and
7,are
6,the
7,on
5,0
1,the
4,sml
3,the
3,density
2,profit
4,are
5,are
5,no
2,there
4,simulators
1,a
6,very
6,the
5,a
1,ernest
7,each
2,farm's
6,many
6,we
5,to
6,presented
3,line
3,us
3,deterministic
7,but
6,the
6,proportion
5,primary
5,pareto
2,eq:mult
5,simulator
5,if
1,predict
5,be
3,design
6,this
3,function
6,mean
5,preferences
6,input
4,has
4,function
2,resident
6,a
3,function
6,the
2,judgement
5,_n
3,regression
4,cheapvexp.pdf
4,_i
1,this
2,function
3,hypercubes
4,the
5,is
6,corresponding
6,of
4,is
2,analysis
3,other
1,of
7,the
6,bottom
3,ethical
3,we
5,the
2,is
2,chapters
4,wide
6,knowledge
4,be
4,required
5,larger
4,first
6,function
3,chapter
5,now
4,the
6,is
5,found
6,to
6,value
6,normal
6,for
5,exploitation
2,between
6,analysis
5,is
5,to
3,functions
5,the
4,an
2,t_p
3,approximately
2,the
5,many
7,to
2,the
5,we
2,thus
2,to
3,k
3,the
4,splines
7,stakeholders
3,1
3,multilevel
6,of
3,partitioning
5,_k
3,and
6,would
5,small
3,longer
5,acquisition
5,just
2,within
6,literature
5,space
6,they
4,will
3,in
3,data
1,inspired
5,number
6,are
5,simplest
6,the
4,to
2,representation
6,1
1,appropriate
1,to
4,the
4,observed
3,difficult
3,smaller
6,46.62
2,is
3,notion
1,a
3,into
3,nugget
2,utility
4,structure
5,artefact
3,mean
2,probabilities
2,decreases
4,constant
6,qq
4,for
2,and
4,_v
6,independent
6,b
3,zhang2019
4,where
3,runs
3,semidefinite
7,turbine
7,all
3,adapted
6,eq:base
2,gauge
4,h
5,ruled
6,by
5,for
5,maxima
2,occurred
2,fixed
7,the
4,but
4,data
1,for
4,variance
6,maximiser
5,or
5,be
3,is
4,version
4,het
6,value
6,parameters
3,b
2,for
6,will
3,an
3,x_t
3,emulators
6,that
5,typically
2,have
3,covariance
6,wind
3,strong
3,a
1,well
6,quantity
2,defined
4,prediction
4,estimates
6,data
2,ageing
4,and
2,should
5,factor
2,unknown
3,a
2,elicitation
3,h
6,not
5,regions
6,utility
4,the
4,points
6,can
3,the
3,with
4,is
6,and
1,decomposed
6,to
2,concavity
6,2
5,bayesian
6,about
6,real
5,other
6,solutions
3,to
4,cheap
4,long
4,jointly
6,uncertain
4,c_0
3,neural
2,a
